,top1,top2,top3,top4,top5,p_celebrity_correct
A-portrait-of-Aaron-Paul_1_0.png,"('Aaron Paul', 0.9998869)","('Clark Gregg', 5.6551333e-05)","('John Cusack', 1.7339853e-05)","('Paul Giamatti', 9.029034e-06)","('Charles Kelley', 8.27005e-06)",0.9998869
A-portrait-of-Aaron-Paul_2_0.png,"('Aaron Paul', 0.9994831)","('David Guetta', 0.0001723232)","('Ryan Gosling', 4.706783e-05)","('Tony Hale', 3.4612694e-05)","('Charles Kelley', 2.1291711e-05)",0.9994831
A-portrait-of-Aaron-Paul_3_0.png,"('Aaron Paul', 0.8809621)","('Clark Gregg', 0.10237155)","('Matt Dillon', 0.004174336)","('Shemar Moore', 0.0019488124)","('Joel Mchale', 0.0013238377)",0.8809621
A-portrait-of-Aaron-Paul_4_0.png,"('Aaron Paul', 0.9902293)","('Paul Giamatti', 0.0012486569)","('Walter Koenig', 0.00070504186)","('Billy Crystal', 0.00067912193)","('Charles Kelley', 0.00063143333)",0.9902293
A-portrait-of-Aaron-Paul_5_0.png,"('Aaron Paul', 0.9946819)","('Felipe Massa', 0.0017050009)","('Jason Alexander', 0.00031288204)","('Tony Hale', 0.00024566473)","('Daddy Yankee', 0.00023680634)",0.9946819
A-portrait-of-Alec-Baldwin_1_0.png,"('Alec Baldwin', 0.9394928)","('Alan Simpson', 0.035532758)","('Bruce Springsteen', 0.0074091484)","('Richard Gere', 0.0073522963)","('Alan Rickman', 0.0023067568)",0.9394928
A-portrait-of-Alec-Baldwin_2_0.png,"('Alec Baldwin', 0.9972537)","('Richard Gere', 0.0026025956)","('Pierce Brosnan', 4.3394783e-05)","('Tony Bennett', 3.6142457e-05)","('Ronald Reagan', 1.4013732e-05)",0.9972537
A-portrait-of-Alec-Baldwin_3_0.png,"('Alec Baldwin', 0.9999751)","('Richard Gere', 7.3101805e-06)","('Robert De Niro', 5.242518e-06)","('Ronald Reagan', 2.190713e-06)","('Fred Rogers', 1.3267493e-06)",0.9999751
A-portrait-of-Alec-Baldwin_4_0.png,"('Alec Baldwin', 0.9997489)","('Daniel Baldwin', 5.906979e-05)","('Kyle Chandler', 5.0046274e-05)","('Richard Gere', 4.219205e-05)","('Ronald Reagan', 2.4707033e-05)",0.9997489
A-portrait-of-Alec-Baldwin_5_0.png,"('Alec Baldwin', 0.9951259)","('Richard Gere', 0.0036152296)","('Fred Rogers', 0.00084284047)","('Daniel Baldwin', 0.00021520746)","('Errol Flynn', 3.1510077e-05)",0.9951259
A-portrait-of-Amanda-Seyfried_1_0.png,"('Amanda Seyfried', 0.9466935)","('Emma Stone', 0.026589062)","('Jeri Ryan', 0.009854865)","('Amanda Plummer', 0.007082654)","('Jaime King', 0.0025933117)",0.9466935
A-portrait-of-Amanda-Seyfried_2_0.png,"('Amanda Seyfried', 0.99474525)","('Amanda Plummer', 0.005033192)","('Emma Stone', 8.461517e-05)","('Jeri Ryan', 3.9373313e-05)","('Hannah Ferguson', 1.906773e-05)",0.99474525
A-portrait-of-Amanda-Seyfried_3_0.png,"('Amber Heard', 0.3620444)","('Dakota Fanning', 0.28233823)","('Amanda Seyfried', 0.25355238)","('Ashley Benson', 0.021946717)","('Scarlett Johansson', 0.017786643)",0
A-portrait-of-Amanda-Seyfried_4_0.png,"('Amanda Seyfried', 0.97827446)","('Dakota Fanning', 0.019146396)","('Amanda Plummer', 0.0024803695)","('Maika Monroe', 1.4988622e-05)","('Deborah Ann Woll', 1.0806004e-05)",0.97827446
A-portrait-of-Amanda-Seyfried_5_0.png,"('Amanda Seyfried', 0.9966127)","('Amanda Plummer', 0.0031272988)","('Dakota Fanning', 0.00019421794)","('Maika Monroe', 1.6927483e-05)","('Jaime King', 7.7938075e-06)",0.9966127
A-portrait-of-Amy-Poehler_1_0.png,"('Amy Poehler', 0.9999685)","('Reese Witherspoon', 5.0638614e-06)","('Alan Alda', 1.9699437e-06)","('Sigourney Weaver', 1.6339321e-06)","('Gary Busey', 1.5475513e-06)",0.9999685
A-portrait-of-Amy-Poehler_2_0.png,"('Amy Poehler', 0.9987494)","('Theresa May', 0.00040865855)","('Elisabeth Moss', 0.00017795141)","('Molly Shannon', 6.541693e-05)","('Melissa Benoist', 6.4476415e-05)",0.9987494
A-portrait-of-Amy-Poehler_3_0.png,"('Amy Poehler', 0.9991659)","('Stacy Keibler', 0.00020960986)","('Alan Alda', 0.00010961901)","('Laura Linney', 0.00010942233)","('Jessimae Peluso', 9.612265e-05)",0.9991659
A-portrait-of-Amy-Poehler_4_0.png,"('Amy Poehler', 0.99669075)","('Anna Faris', 0.0003459814)","('Theresa May', 0.00022238995)","('Camila Mendes', 0.00016784537)","('Kirstie Alley', 0.00012127208)",0.99669075
A-portrait-of-Amy-Poehler_5_0.png,"('Amy Poehler', 0.9997217)","('Alan Alda', 9.284571e-05)","('Alicia Silverstone', 2.7664746e-05)","('Kirstie Alley', 1.5800493e-05)","('Theresa May', 1.3557581e-05)",0.9997217
A-portrait-of-Amy-Schumer_1_0.png,"('Amy Schumer', 0.99805105)","('Kelly Clarkson', 0.0019313829)","('Aretha Franklin', 9.370829e-06)","('Aidy Bryant', 1.3969093e-06)","('Kate Mckinnon', 7.143033e-07)",0.99805105
